id	tweet	label 
23	"Desde los orígenes, la humanidad ha tenido que hacer frente a una cuestión fundamental: la forma de preservar y transmitir su cultura, es decir, sus creencias y conocimientos, tanto en el espacio como en el tiempo HASHTAG https://t.co/czWVZoI3gN"	others 
24	Con 16 años HASHTAG es candidata al premio nobel por proteger el planeta y luchar contra el cambio climático. ¿Qué excusa vas a ponerte tú hoy para no hacerlo? https://t.co/SryoqLe3fg	others 
25	"🇫🇷 Una verdadera pena :( 🇫🇷  https://t.co/vPtqJ153Vb  Hace pocos meses pude ver con mis propios ojos HASHTAG de París, una verdadera pena lo que sucedió el día de hoy!  HASHTAG HASHTAG"	sadness 
26	"Gente que le da igual HASHTAG pero si se les rompe el móvil ahí si se ponen a llorar,vaya banda de subnormales;No valoramos la poca historia de arquitectura que queda de pie.  Rip la inteligencia humana!"	disgust 
27	Hay que agradecer en esta noche a  USER. Gracias de verdad por conseguir movilizar a la izquierda. HASHTAG	joy 
28	"Honestamente, si era por ""la única iglesia que ilumina es la que arde"", prefería que se quemaran los colegios de monjas pedorros que hay cerca de mí casa HASHTAG  HASHTAG  HASHTAG  HASHTAG"	disgust 
29	Ya casi termino HASHTAG y ya sé que quiero hacer cuando termine... pasarselo a la hija de 12 años de alguien que conozco, porque yo creo que los libros en el librero se ponen tristes, quieren que alguien más los lea HASHTAG 📚	others 
30	"Defendamos la soberanía de HASHTAG   No más intervencionismo Yanqui https://t.co/H8VLaPX7Nl"	others 
31	"USER se ha convertido en un icono del activismo ecológico a nivel planetario. Da esperanza ver a jóvenes peleando de esta manera HASHTAG https://t.co/QxHWFgmYkQ"	joy 
32	Tengo buenas espectativas sobre el juego que hará el HASHTAG hoy contra el HASHTAG HASHTAG https://t.co/Y3KAKdEnT6	others 
33	"Me encantan estos HASHTAG con HASHTAG incluida  Semifinal Ida Barcelona 🆚 Liverpool https://t.co/mH9jRMWyKg"	joy 
34	Te presentamos el único resultado de este miércoles en la USER HASHTAG HASHTAG HASHTAG https://t.co/wA1u1u0DQh	others 
35	Que os han comido la cabeza es un hecho irrefutable. Yo no voy a pensar como vosotros me digáis que piense. No voy a seguir a la mayoría. Voy a seguir luchando, 4 o los años que sean, para llevar a España donde se merece. HASHTAG	anger 
36	Con HASHTAG las esperanzas de todo el continente se ven levantadas con Fe y Fuerza, pronto estaremos libres de la lacra del Siglo XXI y sobre todo de tiranos dictadores como USER, los HASHTAG y sus HASHTAG. Adelante USER https://t.co/24NhVnVbpx	others 
37	HASHTAG HASHTAG RT SrDeadPoolTM: Si ha pasado esto en el capítulo 3 de HASHTAG, que no pasará en el último? ¡Me cago en mi puta vida!	surprise 
38	Hoy se deja claro que la mayoría del pueblo español no está a favor del dolor ocasionado hasta el momento al pueblo catalán🎗#ElecccionesGenerales28A HASHTAG HASHTAG	others 
39	Sin duda un buen juego por dos grandes planteles HASHTAG HASHTAG	others 
40	HASHTAG | El Atlético de Madrid ha vencido esta tarde al Valladolid (1-0) y este resultado obliga al HASHTAG a ganar esta noche al Levante si quiere proclamarse campeón.	others 
41	Que la luz ilumine a toda HASHTAG que la paz inunde los corazones y Dios de esperanza a su pueblo. HASHTAG 🙏🏼	joy 
42	Ayer también HASHTAG logró decir verdades en Davos respecto al poco interes de los más poderosos con el medio ambiente. HASHTAG https://t.co/caQEKsQ8Q6	others 
43	Muchas veces una pequeña HASHTAG puede producir un gran HASHTAG... Y una idea, un gran cambio. Gracias HASHTAG por iniciarlo. HASHTAG HASHTAG HASHTAG HASHTAG USER USER https://t.co/FrHQPZloo6	joy 
44	HASHTAG Leopoldo no puede ser tan cobarde de no estar al frente de su gente. Vergonzoso y bochornoso que esté en la embajada chilena. Qué mierda de honor es ese? Qué líder tan bochornoso es ese?	anger 
45	Lista para el capítulo de hoy! HASHTAG HASHTAG  HASHTAG https://t.co/uKiuFNMrTr	joy 
46	Así me he quedado con HASHTAG  HASHTAG HASHTAG  SIN PALABRAS https://t.co/L1amc5FgcE	surprise 
47	"🏆 HASHTAG número 2⃣6⃣.  8⃣ títulos de liga de los últimos 11 torneos locales.  ¡Simplemente los mejores de 🇪🇸! Felicidades USER https://t.co/hdUAIpYXzC"	joy 
48	"Como si la escasez surgiera de la nada, o el gobierno voluntariamente buscase el hambre de su pueblo para ponerlo en contra... La razón está aquí, como ocurrió en Chile. Manipulación de recursos y economía para crear escasez necesaria y tener un golpe ""justificado"" en  HASHTAG https://t.co/q91Og9blGP"	others 
49	El veto de la derecha a la joven HASHTAG HASHTAG en la HASHTAG calienta las movilizaciones del HASHTAG del 15 de HASHTAG https://t.co/sVwIrCQjua vía USER	others 
50	En las próximas elecciones beso los sobres 💋💜 HASHTAG HASHTAG HASHTAG	others 
51	"HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG  La Liga es nuestraaaaaaaaaaaa. Felicidades a todos los culés. Un abrazo campeón para todos."	joy 
52	Santiago Apastar dice que le insultan mientras insulta a los progresos y a la gente que es menos de derechas que él. HASHTAG https://t.co/xzddqJNdUy	anger 
53	Este hilo se acaba, pero no lo hará sin haberos deseado un feliz HASHTAG HASHTAG. Esto no termina hasta q llega el día 24 📚🐲	others 
54	¿Qué nos espera? Análisis del TRÁILER del episodio 8×04 de Juego de Tronos HASHTAG HASHTAG https://t.co/KWt3Ud95T2	surprise 
55	"En otra época hubo personas que lucharon para que hoy puedas depositar libremente tu papeleta en una urna.   Ejerce tu derecho al voto 🗳 ✉️   HASHTAG"	others 
56	HASHTAG los Bomberos de París premian a José Manuel Soto por los buenísimos consejos que les ha dado desde ayer https://t.co/XVUIV8gX0b	joy 
57	No le deis más vueltas. La sorpresa es que no ha habido sorpresas HASHTAG	joy 
58	"Por si no tuvimos suficientes emociones con HASHTAG, llegó HASHTAG HASHTAG y nos ofreció otro episodio bestial!!! Que buen final de puente estamos disfrutando!!"	joy 
59	Campeones, campeones oeoeoe 🎶 El Barcelona campeón de HASHTAG 18-19. Que rico es ganar!!! https://t.co/VSPeWErY2M	joy 
60	HASHTAG Podéis conducir por Genova tranquilamente	others 
61	"Dijo alguna vez el escritor Ray Bradbury: “Usted no tiene que quemar libros para destruir una cultura. Sólo tiene que hacer que la gente deje de leerlos”. 👏👏👏  HASHTAG… https://t.co/aG9K5IlbhK"	sadness 
62	Mientras unos hablan del pasado otros van  ganando titulos. HASHTAG HASHTAG HASHTAG https://t.co/8hBCUoIIHn	others 
63	Cuánto duele verlo... los rosetones de HASHTAG sufren daños catastróficos... 😔 https://t.co/DhpU1kjuIt	sadness 
64	Que mal lo estoy pasando  HASHTAG	sadness 
65	USER USER USER USER que poca vergüenza tienen los árbitros de HASHTAG HASHTAG las mismas manos q le pitaron en contra al USER se la niegan ahora al USER  HASHTAG	anger 
66	Cuando enciendan las luces estarán todos dormidos. HASHTAG HASHTAG	others 
67	Estoy destrozada por el devastador incendio en la Catedral de Notre Dame, estaba planeado ir dentro de 4 o 5 décadas para conocerla, Dios la tenga en su Santa gloria. 😔 HASHTAG HASHTAG  HASHTAG HASHTAG	sadness 
68	Desgarradoras estás imágenes que nos llegan desde Francia. Nuestro pesar por el incendio que arrasa HASHTAG. https://t.co/Rngq4vLUKO	sadness 
69	"Nuestra Nación, Venezuela tiene un alma que ¡Vaya que le falta amor!  ¿Cómo le doy amor a mi país en tiempos de crisis?  USER nos tiene la respuesta aquí:  https://t.co/OCn8Z9TLJK  HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG"	others 
70	HASHTAG que asco tener sangre española después de ver lo mediocre que son los gachupines....	anger 
71	"HASHTAG ¡Hoy es día de HASHTAG y por eso os traemos el tema que ha grabado Rosalía para el album que se está realizando de la serie titulado ""Me traicionaste""! https://t.co/fOhe0CU5J4 HASHTAG HASHTAG"	others 
72	De vuelta a HASHTAG tras un fin de semana de trabajo en HASHTAG. Próxima parada: el HASHTAG electoral. No hay km suficientes que me separen de mi deseo de una España en la que quepamos todos. HASHTAG HASHTAG https://t.co/0vGJudB0nh	others 
73	Porque le habéis puesto a podemos 35 cuando ha tenido 42???? Seguís engañando a la audiencia???@telecincoes USER USER HASHTAG  HASHTAG HASHTAG USER https://t.co/5R24nf96f7	anger 
74	Quién se lleva los reflectores? A quién le damos la primera plana? A HASHTAG por sus 600 goles en clubes? O a HASHTAG por su 4to título de HASHTAG en 5 años? Estos dos se necesitan uno a otro, no podemos hablar de solo uno, porque el otro sale a levantar la mano! Par de cracks!	joy 
75	en cataluña todo bien nada mal HASHTAG HASHTAG HASHTAG https://t.co/c54VI2P5wm	others 
76	Sr. Sánchez, haga caso a sus votantes: “con Rivera no”. HASHTAG HASHTAG HASHTAG	others 
77	10 spin-offs de HASHTAG que nos gustaría ver tras el final de la serie https://t.co/1xCFbaaB5f https://t.co/DEu3mnqWwo	others 
78	"Alguien quiere contar que libro está leyendo hoy? HASHTAG Yo hoy leo ""La simetría de los deseos"" de Eshkol Nevo en español, regalo de una gran amiga que no vive en este barrio."	joy 
79	"HASHTAG | ""#JuegodeTronos"" escenifica una trepidante batalla en una larga noche de 82 minutos https://t.co/p5dxB4WvLk HASHTAG HASHTAG [Colaboración especial: USER] https://t.co/ErNGFWYD9r"	others 
80	Ya no me quedan uñas!!!! HASHTAG https://t.co/UU949tXbDZ	others 
81	"🏆 🗣 Gárate: “Algún día llegará esa Champions anhelada”. HASHTAG HASHTAG HASHTAG    ➡ https://t.co/F9uMRQVRls https://t.co/uESU2eJr9D"	others 
82	En mi pueblo (pueblo de HASHTAG) lo que hace Bran de HASHTAG es dotorejar.	others 
83	"Secretario general de HASHTAG pide ""máxima moderación"" en HASHTAG con el fin de evitar la violencia y restablecer la calma https://t.co/ubwrpwO38G https://t.co/l84NkjuO1F"	others 
84	Una pena el devastador incendio en la Catedral de HASHTAG. Una pérdida irreparable del patrimonio cultural de nuestro planeta. https://t.co/Sfv3SFefk8	sadness 
85	Después de todas las emociones por las que he pasado con este capítulo de HASHTAG doy gracias de no tener que trabajar hoy para echarme la siesta porque estoy agotada HASHTAG	joy 
86	La madre que te parió HASHTAG 😲 valla golazo. HASHTAG	surprise 
87	HASHTAG lo de Bolton es de una desfachatez brutal. https://t.co/hBd4xWpJo7 USER USER USER USER	anger 
88	El mal perder del Votante de DERECHAS Y DE EXTREMA DERECHA. Ya no hay ositolas para todos, toros para todos e incultura para todos. Ooohhhh qué pena!!!!#ElecccionesGenerales28A	others 
89	HASHTAG | Messi llegó a los 600 goles, con un golazo de tiro libre. Así fue: https://t.co/LPMzQkzwqm https://t.co/MdnCqgsoGf	others 
90	"""Ustedes solo hablan de seguir adelante con las mismas malas ideas que nos metieron en este lío [del cambio climático]"" - la activista HASHTAG al hablar en la Cumbre de la ONU sobre Cambio Climático en diciembre en Polonia HASHTAG HASHTAG https://t.co/Y8qVP7uwVa"	others 
91	Ustedes de verdad están contentos con que Arya matara al rey de la noche cargándose así 7 temporadas donde nos han venido desarrollando toda una historia sobre el príncipe/princesa que fue prometido/a? HASHTAG	sadness 
92	Estaban grabando el Señor de los Cielos 34 en HASHTAG	others 
93	"Un jugador que sabe interpretar muy bien los espacios y tiempos ... Donny Van de Beek  HASHTAG HASHTAG HASHTAG https://t.co/k1PNhgA0gO"	others 
94	"""Si no lo hacen los adultos, debemos hacerlo los niños""  HASHTAG   hay esperanza!"	others 
95	Maroto quedándose fuera del Congreso de los Diputados HASHTAG HASHTAG https://t.co/t7MihkCJTl	others 
96	"Comentario entretiempo entre el USER y el USER: El gol fue un ""accidente"" al trámite general del juego. Mal la lesión de Keita. HASHTAG"	sadness 
97	Veo mucha gente triste por el incendio en HASHTAG. Te cuento que la semana pasada un hombre le prendió fuego la casilla a su ex mujer, perdió lo poco que tenía, no se digo, quizás también se te da por poner una foto de ella y darle una mano no?	sadness 
98	Brava, Brava, Brava ... tú podías volar y te has quedado posadita en el suelo como si montases una gallina. Supuestamente no te quemas y no te sirvió de nada. Ni te has esforzado en aprender a usar un arma. Tanto poder y tan desperdiciado... TU NO. HASHTAG HASHTAG https://t.co/6kyUAOjmzY	others 
99	Que tristeza lo que pasó hoy en España, cada vez más países se dejan llevar por las peligrosas ideas del socialismo y el progresismo. Vienen tiempos duros para España y para occidente. HASHTAG	sadness 
100	Feliz  HASHTAG que disfruten del mismo https://t.co/CPCJvvbt5g	joy 
101	¿Por qué cojones no está Sam en la puta cripta? Me está poniendo de los nervios HASHTAG HASHTAG HASHTAG	anger 
102	Felicidades a todos los culés!! 8-11 k burrada!! Esperemos que la próxima sea más igualada!!! HASHTAG	others 
103	La han destruido por completo. Han destrozado HASHTAG impunemente. Malditos psicópatas. Y la versión oficial ... ¿se decantará por la opción A o la B? Se admiten apuestas.	anger 
104	La presidenta de nuestra Fundación USER ha escrito un artículo sobre Greta Thunberg activista contra el cambio climático. Compartimos enlace al mismo: https://t.co/lmBTTUaE3Y HASHTAG  HASHTAG HASHTAG HASHTAG HASHTAG https://t.co/NKz2N21a9O	others 
105	Por eso tienes que jugar con un 9 Klopp HASHTAG	others 
106	USER suite para la resurrección triste muy triste 🇫🇷👐💚😔 HASHTAG https://t.co/5twqjWbSSo	sadness 
107	"A pesar de la lluvia, muy buen ambiente en el HASHTAG. ¡Feliz HASHTAG, HASHTAG y a leer mucho!   PD: Os dejo mis adquisiciones y obsequios, todo en USER 👌🏼. https://t.co/oKd56DHMGi"	joy 
108	Que manera de vender pescado podrido. Evidentemente saben a sus electores como personas no pensantes. Sino no se entiende. HASHTAG https://t.co/eInRTOqOxd	anger 
109	HASHTAG HASHTAG  mi ciudad favorita del mundo, conozco la belleza gracias a ti HASHTAG HASHTAG❤️💪 https://t.co/t33wcavkn5	joy 
110	Gracias melissandre y señor de la luz por encender las trincheras para que nosotros espectadores pudiéramos ver algo. HASHTAG  HASHTAG  HASHTAG  HASHTAG https://t.co/TRHcflmLLW	others 
111	Apaguen el play. Ya ganó. HASHTAG HASHTAG https://t.co/1b3PBNEYja	others 
112	HASHTAG VÍDEO:😱 ¡Fuera de Control! Manifestaciones😥en las calles de HASHTAG 🇻🇪dejan heridos y atropellados y más...https://t.co/zhRIxkL68z	sadness 
113	Lo que costó 200 años en construir se puede perder en un día... que tristeza! HASHTAG HASHTAG https://t.co/zpbO5kDeuZ	sadness 
114	Buenos días . Camino del trabajo me pregunto si alguien sabe donde están escondidos los  que se reían de los datos del HASHTAG ? HASHTAG HASHTAG HASHTAG	sadness 
115	El Rey de la Noche con la manicura perfecta es the best HASHTAG	joy 
116	Me he levantado a verlo. No hagáis spoilers y no le fastidiéis a nadie este gran capítulo. HASHTAG HASHTAG HASHTAG	others 
117	"Pareciera que los cubanos no solo están a cargo de la inteligencia en HASHTAG; también de las comunicaciones externas de la cúpula militar.  HASHTAG   HASHTAG https://t.co/ayIyGQPDYq"	others 
118	USER Solo basto la entrada de Messi para que desequilibrar al Levante y así anotar el gol de la victoria que les da el campeonato de Liga 2018-2019! HASHTAG HASHTAG HASHTAG https://t.co/8p9h5owQND	joy 
119	"Estoy tomando la costumbre de tomarme los años impares en sabáticos en cuanto al tema literario (presentaciones, ferias...) ¿Será malo, digo yo?  HASHTAG"	others 
120	FELIZ. Gracias España! Los españoles hemos demostrado que somos mejores que nuestros políticos. No queremos odio, enfrentamiento ni ir hacía atrás. Lo que queremos es igualdad, avanzar y diálogo. HASHTAG HASHTAG	joy 
121	"HASHTAG    ¿ Será que Maduro seguirá el mismo camino que Nicolae Ceaușescu ?"	others 
122	"Solo una Izquierda inútil e incapaz de toda autocrítica como la que representan Unidas Podemas - IU y demás batiburrillo de confluencias, podría salir ahora dando como bueno perder 30 diputados.   HASHTAG HASHTAG"	anger 
123	"¡Feliz día del libro a todos! ¡Y felicidades a todos los Jorges!  ""𝐄𝐥 𝐪𝐮𝐞 𝐋𝐄𝐄 𝐦𝐮𝐜𝐡𝐨 𝐲 𝐀𝐍𝐃𝐀 𝐦𝐮𝐜𝐡𝐨, 𝐕𝐄 𝐦𝐮𝐜𝐡𝐨 𝐲 𝐒𝐀𝐁𝐄 𝐦𝐮𝐜𝐡𝐨"" (𝑴𝒊𝒈𝒖𝒆𝒍 𝒅𝒆 𝑪𝒆𝒓𝒗𝒂𝒏𝒕𝒆𝒔)  HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG…https://t.co/2zJ97dpaps"	joy 
124	Bueno en realidad Berrick Ya no tiene sentido que este en la serie!! Sabemos lo que pasa en los libros pero aún quedaba la duda si usaría ese donde de revivir con alguien o no HASHTAG HASHTAG HASHTAG	surprise 
125	"HASHTAG HASHTAG | Estos son los cinco beneficios que obtiene tu cerebro al leer un libro  Más detalles: https://t.co/GJJKMJVMuM"	others 
126	¿Llegarán a poder ser dóciles del todo? Lo veremos en próximos capítulos de HASHTAG https://t.co/tlJGMPC1P0	others 
127	Shot cada que veas un Twitts de HASHTAG. Doble si mencionan a Cuasimodo. Fondo si ponen foto de ellos en la catedral.	others 
128	"""Soy una niña que dice que otras personas están robando mi futuro"" HASHTAG, activista sueca símbolo de las protestas por el clima  https://t.co/XGlcxp4aUQ"	sadness 
129	Donde se han metido todos trolls de Vox? HASHTAG	others 
130	30' Media hora de juego (ATM🔴⚪0-VLL💜⚪0) HASHTAG🔴⚪💜⚪#LaLiga	others 
131	"HASHTAG🇻🇪 Por todos los fallecidos en protestas, por todos los fallecidos por hambre, por todos los fallecidos por falta de medicamentos, por todos los que tuvieron que abandonar su hogar y por todos los que nos hemos levantado aún con lágrimas en los ojos."	sadness 
132	"Gol, gol y goooooool del único mejor ""9""  te amo Suárez😘😘 HASHTAG HASHTAG"	joy 
133	Me dispongo a ver por segunda vez el episodio 8x03 y estoy más nerviosa que la primera... HASHTAG  HASHTAG	fear 
134	"HASHTAG: la ""estructura"" del monumento pudo ser salvada ""en su totalidad"", según los bomberos franceses. Los trabajos para apagar las llamas por completo continúan. https://t.co/AE9xZbZRZX [ct]"	joy 
135	"HASHTAG Uno de los mejores libros que he leído,  se los recomiendo. https://t.co/Wf0J5zK7xM"	joy 
136	Y llegó el 600 te amo USER  HASHTAG	joy 
137	Que espectáculo lo de Sadio Mane. HASHTAG	others 
138	Está claro que sin Messi no hubiera sido lo mismo pero aun así 8 de 11 es impresionante. Enhorabuena a todos los culés!!! 🏆🔴🔵🔴🔵#Campions HASHTAG HASHTAG https://t.co/Qo7oxF827r	joy 
139	Puta locura de capitulo. Lo mejor que he visto pero con diferencia HASHTAG	joy 
140	"Una auténtica desgracia!!! Ojalá todos y todas podamos volver a verla en todo su esplendor, aunque ya nunca será lo mismo HASHTAG https://t.co/Z0KfI9DSYI"	sadness 
141	‘Derrota clara i rotunda’. Vale, lo ha entendido. 30 segundos después: ‘Trabajaremos en la reconstrucción del constitucionalismo’.  Pues no lo ha pillado. HASHTAG HASHTAG HASHTAG HASHTAG https://t.co/2nwXTU1V4R	others 
142	La gente que hace bromas con HASHTAG y juego de tronos... Esa gente que tiene que hacer chistes a toda costa para mantener con vidilla su perfil. Twitter 2019.	others 
143	"A propósito del HASHTAG 😍:   La de la Sorbona, la Pública de NY y otras bibliotecas, las más bonitas del mundo https://t.co/r4E5sjHxtf"	joy 
144	El clima del futuro (aún) está en nuestras manos HASHTAG HASHTAG HASHTAG https://t.co/yIFEM2MHgZ	others 
145	Una disculpa mis estimados hermanos de HASHTAG. La ignorancia de algunos Mexicanos es grande! Quiero a Venezuela libre! https://t.co/DS4UXSKVOT	joy 
146	"Ahora mismo el Barcelona es campeón ⏳ tic tac HASHTAG  ⚽️El gol de Messi, vale una liga 😅"	joy 
147	"La Catedral de HASHTAG construida en 1163, ha sobrevivido a invasiones, revoluciones y guerras, pero un devastador HASHTAG acaba con ella.  Triste suceso para la HASHTAG HASHTAG.  📷 GetYourGuide HASHTAG HASHTAG https://t.co/RxEit4kNgm"	sadness 
148	Mentiroso resultado HASHTAG mereció más . Un 4/3 debió ser justo HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG	anger 
149	"HASHTAG vaya atraco al HASHTAG. Vale que la mano no la ve el árbitro en directo, pero en el monitor es clarísima. Árbitro prevaricador!"	anger 
150	"Acabo de ver el gol de Messi...  ¡TREMENDO! HASHTAG"	joy 
151	Feliz día del libro, y sean todos bienvenidos porque hay para todos los gustos. Siempre lleven un libro con ustedes.. HASHTAG https://t.co/FGjcnnSsJl	joy 
152	Messi, sin duda, el mejor jugador del mundo, HASHTAG USER con un pie en la final de la HASHTAG	others 
153	Catedral de HASHTAG, símbolo gótico de París 🇫🇷🕍 https://t.co/Xr2yv0g9DR https://t.co/vZt2XPFqV4	others 
154	"Compara el número de minutos y tweets dedicados a HASHTAG con el que se dedicó al autobús escolar bombardeado en Yemen matando decenas de niños......  Asco!!!!!"	disgust 
155	Independientemente al carácter religioso de HASHTAG hoy se ha dañado una de las creaciones humanas más grandes en la arquitectura y en tiempos en los que el hombre solo destruye eso si representa una pérdida notable.	sadness 
156	"HASHTAG HASHTAG HASHTAG.El Gobierno subraya que ""España no respalda ningún golpe militar"" en Venezuela"	others 
157	Hoy es el HASHTAG. Desde El Ateneo en Buenos Aires, un lugar que hace honor a miles de libros, pero que aún no tiene todos los que quiero. La Biblioteca de mis sueños tiene amplias… https://t.co/xv9Gfk2Jk9	joy 
158	Jaén sin escaños de VOX y qué bien HASHTAG HASHTAG	joy 
159	Impresionante!!! Brutal! Y... simplemente HASHTAG !!!! Que tensión continúa!!! HASHTAG HASHTAG HASHTAG HASHTAG	joy 
160	USER Si, la vi porque vi la película del Jorobado de HASHTAG, me da mucha tristeza lo que ha pasado, ojalá el enfermito esté bien.	sadness 
161	"HASHTAG HASHTAG No tiene vergüenza el presidente argentino doble moral. Alienta el golpe de estado en el país hermano y repudia  un paro legítimo en su país tildando de golpistas a los trabajadores"	anger 
162	HASHTAG En una ocasión paseado a orillas del sena te encontramos majestuosa delante de nuestros ojos y ahora con el pueblo de HASHTAG seguro que muy pronto volveras a brillar así ,que no te quepa la menor duda querida HASHTAG  HASHTAG https://t.co/6GOvig1i2R	joy 
163	Por favor, no publiques tus fotos con  HASHTAG! Este incendio es un evento desgarrador para HASHTAG y el mundo. Simplemente muestre su solidaridad con HASHTAG en esta terrible tragedia. ¡No todo es sobre ti! https://t.co/8YWz6CsDwM	sadness 
164	Me cago en la puta, una semana más HASHTAG	anger 
165	EMERGENCIA CLIMÁTICA! El viernes se va a celebrar la huelga por el clima HASHTAG HASHTAG HASHTAG ##fridaysforfuture HASHTAG en Madrid, Spain https://t.co/DDpxbW6g64	others 
166	Las penas del fútbol se pasan con fútbol...Messi un crack! HASHTAG	joy 
167	"Un HASHTAG vs HASHTAG para final de la HASHTAG...  Adivinen desde el cielo, ¿Quién será el más feliz?  ⚽️🙏🏼👏🏼"	others 
168	A Messi le dio envidia y anotó... Barca ya es campeón en España 🇪🇸 HASHTAG	others 
169	HASHTAG NUEVAMENTE GOLPE DE ESTADO DESCARADO EN HASHTAG, HASHTAG ES RESPONSABLE DE TODA LA DESTRUCCIÓN DE ESE PAÍS. HASHTAG APLICA FALSOS POSITIVOS,PERO EL PUEBLO RESPALDA A MADURO. https://t.co/Ng9Ky8C2RA	anger 
170	Maduro asegura que tiene 'total lealtad' de jefes militares HASHTAG HASHTAG https://t.co/oPkiq1n9YC	others 
171	Manifestantes venezolanos durante enfrentamientos con fuerzas de seguridad en HASHTAG, HASHTAG | Fotos: USER y USER https://t.co/YWTIHuQeo4	others 
172	La musiquita de bueno pues aquí HASHTAG	others 
173	Me encanta el olor a NAPAL en Genova 13 por la mañana. HASHTAG HASHTAG	others 
174	FINAL 🏆 El Barça gana al Levante con un gol de Leo Messi y ya es CAMPEÓN DE LIGA 2018/19. ¡¡¡Felicidades al USER y a todos sus aficionados!!! 👏👏👏https://t.co/6mY4yOpBVQ HASHTAG HASHTAG https://t.co/WbFbAWg3i6	joy 
175	Leganés 0-0 Celta de Vigo | HASHTAG | HASHTAG | HASHTAG	others 
176	Encima esta música tan turbia y puf, ya basta, por favor HASHTAG	anger 
177	"Me estoy aprendiendo las frases por si acaso: Para saludarnos: ‘Bendito sea el fruto’ contestación ‘el señor permita que madure’ Para despedirnos: ‘con su mirada’ Para cualquier buena noticia: ‘alabado sea’ (😭🙏🏼) HASHTAG HASHTAG"	others 
178	La foto es devastadora. Parece que al menos la estructura va a poder salvarse, pero la pérdida es terrible, irreparable, es una tragedia. Hoy es un día muy triste. HASHTAG https://t.co/5tFzI6Bhz1	sadness 
